#separator:tab
#html:true
#columns:Front	Back	Tags
【第102回 問1】物理・分析の基礎・バリデーション<br><br>次の関係式のうち、正しいのはどれか。1つ選べ。<br><br>1. 1kHz ＝ 1× 10□Hz<br>2. 1nm ＝ 1× 10□□m<br>3. 1ppm ＝ 1× 10□□％<br>4. 1μg ＝ 1× 10□□g<br>5. 1w/v％ ＝ 1× 10□g/L	<b>正答：2</b><br>1nm ＝ 1× 10□□m<br><br>テーマ：分析の基礎・バリデーション（10年10問・6/10回）	薬剤師国家試験 必須問題 科目::物理 テーマ::分析の基礎_バリデーション 第102回
【第109回 問55】薬剤・DDS・放出制御　📐図・構造式<br><br>下の模式図で表される経口徐放性製剤の放出制御膜として、適切なのはどれか。1つ選べ。薬物放出口放出制御膜薬物層プッシュ層<br><br>1. 糖衣<br>2. 半透膜<br>3. 腸溶性皮膜<br>4. 生分解性皮膜<br>5. イオン交換樹脂膜	<b>正答：2</b><br>半透膜<br><br>テーマ：DDS・放出制御（10年7問・5/10回）	薬剤師国家試験 必須問題 科目::薬剤 テーマ::DDS_放出制御 第109回 flag::図
【第109回 問56】病態・薬物治療・精神・神経疾患<br><br>神経筋接合部のアセチルコリン受容体に対する自己抗体が産生されることにより、筋力低下をきたす自己免疫疾患はどれか。1つ選べ。<br><br>1. イートン・ランバート症候群<br>2. 重症筋無力症<br>3. ギラン・バレー症候群<br>4. 進行性筋ジストロフィー<br>5. 筋萎縮性側索硬化症	<b>正答：2</b><br>重症筋無力症<br><br>テーマ：精神・神経疾患（10年16問・8/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::精神_神経疾患 第109回
【第109回 問57】病態・薬物治療・精神・神経疾患<br><br>身体の一部又は全身に瞬間的な筋収縮が起こり、発作持続時間が短く、意識消失の自覚症状が無いことが多いてんかん発作はどれか。1つ選べ。<br><br>1. 複雑部分発作<br>2. 欠神発作<br>3. 強直間代発作<br>4. ミオクロニー発作<br>5. 脱力発作	<b>正答：4</b><br>ミオクロニー発作<br><br>テーマ：精神・神経疾患（10年16問・8/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::精神_神経疾患 第109回
【第109回 問58】病態・薬物治療・代謝・内分泌疾患<br><br>メチルフェニデート塩酸塩が適用される疾患はどれか。1つ選べ。<br><br>1. 閉塞隅角緑内障<br>2. 重症うつ病<br>3. 糖尿病性腎症<br>4. くも膜下出血<br>5. ナルコレプシー	<b>正答：5</b><br>ナルコレプシー<br><br>テーマ：代謝・内分泌疾患（10年15問・7/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::代謝_内分泌疾患 第109回
【第109回 問59】病態・薬物治療・副作用・薬剤性疾患<br><br>高ナトリウム血症の患者に禁忌である薬物はどれか。1つ選べ。<br><br>1. トルバプタン<br>2. エプレレノン<br>3. エナラプリルマレイン酸塩<br>4. カルベジロール<br>5. フロセミド	<b>正答：1</b><br>トルバプタン<br><br>テーマ：副作用・薬剤性疾患（10年18問・9/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::副作用_薬剤性疾患 第109回
【第109回 問60】病態・薬物治療・免疫・膠原病・血液疾患<br><br>臨床所見としてスプーン状爪が認められる疾患はどれか。1つ選べ。<br><br>1. 鉄欠乏性貧血<br>2. 巨赤芽球性貧血<br>3. 自己免疫性溶血性貧血<br>4. 腎性貧血<br>5. 骨髄異形成症候群	<b>正答：1</b><br>鉄欠乏性貧血<br><br>テーマ：免疫・膠原病・血液疾患（10年8問・8/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::免疫_膠原病_血液疾患 第109回
【第109回 問61】病態・薬物治療・副作用・薬剤性疾患　📐図・構造式<br><br>心電図上で QT 間隔の延長により生じやすくなる不整脈はどれか。1つ選べ。<br><br>1. 洞停止<br>2. 洞房ブロック<br>3. 心房細動<br>4. 発作性上室頻拍<br>5. 多形性心室頻拍	<b>正答：5</b><br>多形性心室頻拍<br><br>テーマ：副作用・薬剤性疾患（10年18問・9/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::副作用_薬剤性疾患 第109回 flag::図
【第109回 問62】病態・薬物治療・代謝・内分泌疾患<br><br>副腎皮質ステロイド性薬が適用される腎疾患はどれか。1つ選べ。<br><br>1. 腎硬化症<br>2. 糖尿病性腎症<br>3. 痛風腎<br>4. 多発性嚢胞腎<br>5. 特発性膜性腎症	<b>正答：5</b><br>特発性膜性腎症<br><br>テーマ：代謝・内分泌疾患（10年15問・7/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::代謝_内分泌疾患 第109回
【第109回 問63】病態・薬物治療・腎・泌尿器疾患<br><br>ポリカルボフィルカルシウムが適用される疾患はどれか。1つ選べ。<br><br>1. 術後イレウス<br>2. 高カルシウム血症<br>3. 過敏性腸症候群<br>4. 腎不全<br>5. 虫垂炎	<b>正答：3</b><br>過敏性腸症候群<br><br>テーマ：腎・泌尿器疾患（10年5問・5/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::腎_泌尿器疾患 第109回
【第109回 問64】病態・薬物治療・代謝・内分泌疾患<br><br>尿路結石を有する痛風患者に対して、最も適切な尿酸降下薬はどれか。1つ選べ。<br><br>1. ベンズブロマロン<br>2. コルヒチン<br>3. ドチヌラド<br>4. トピロキソスタット<br>5. プロベネシド	<b>正答：4</b><br>トピロキソスタット<br><br>テーマ：代謝・内分泌疾患（10年15問・7/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::代謝_内分泌疾患 第109回
【第109回 問65】病態・薬物治療・代謝・内分泌疾患<br><br>手術が適応とならないクッシング症候群の治療に用いる薬物はどれか。1つ選べ。<br><br>1. チアマゾール<br>2. ミトタン<br>3. デスモプレシン酢酸塩水和物<br>4. レボチロキシンナトリウム水和物<br>5. メチロシン	<b>正答：2</b><br>ミトタン<br><br>テーマ：代謝・内分泌疾患（10年15問・7/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::代謝_内分泌疾患 第109回
【第109回 問66】病態・薬物治療・産婦人科・小児・皮膚眼科ほか<br><br>褥瘡治療に用いる外用薬のうち、壊死組織除去効果を有するのはどれか。1つ選べ。<br><br>1. アルプロスタジルアルファデクス<br>2. ブロメライン<br>3. ポビドンヨード<br>4. ジメチルイソプロピルアズレン<br>5. トレチノイントコフェリル	<b>正答：2</b><br>ブロメライン<br><br>テーマ：産婦人科・小児・皮膚眼科ほか（10年6問・6/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::産婦人科_小児_皮膚眼科ほか 第109回
【第109回 問67】病態・薬物治療・感染症<br><br>我が国において、肝硬変の原因となるウイルス性肝炎として最も頻度が高いのはどれか。1つ選べ。<br><br>1. Ａ型肝炎<br>2. Ｂ型肝炎<br>3. Ｃ型肝炎<br>4. Ｄ型肝炎<br>5. Ｅ型肝炎	<b>正答：3</b><br>Ｃ型肝炎<br><br>テーマ：感染症（10年12問・8/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::感染症 第109回
【第109回 問68】病態・薬物治療・医薬品情報・EBM<br><br>組換え体医薬品の生産プロセスに関する記述について、に入る適切な語句はどれか。1つ選べ。「目的遺伝子を挿入した発現ベクターを細胞に導入し、産生されたを精製して、組換え体医薬品とする。」<br><br>1. DNA<br>2. RNA<br>3. ゲノム<br>4. タンパク質<br>5. 脂質	<b>正答：4</b><br>タンパク質<br><br>テーマ：医薬品情報・EBM（10年11問・7/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::医薬品情報_EBM 第109回
【第109回 問69】病態・薬物治療・臨床統計・研究デザイン　📐図・構造式<br><br>下図の1～5は、既存薬Ｘを対照とした新薬Ｙの非劣性を検討した5つの臨床試験の結果について、両群の差の95％信頼区間を示したものである。あらかじめ設定された非劣性マージンが -D のとき、両側5％水準で非劣性が結論づけられるのはどれか。1つ選べ。 -D 0既存薬Ｘが優る新薬Ｙが優る<br><br>※図・構造式が必要な問題です	<b>正答：4</b><br><br>テーマ：臨床統計・研究デザイン（10年8問・7/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::臨床統計_研究デザイン 第109回 flag::図
【第109回 問70】病態・薬物治療・医薬品情報・EBM<br><br>コンパニオン診断（医薬品の適応判定を目的とした体外診断）のうち、生殖細胞系列遺伝子に対する検査項目はどれか。1つ選べ。<br><br>1. ALK 融合遺伝子<br>2. BRAF 遺伝子変異<br>3. BRCA1/2遺伝子変異<br>4. EGFR 遺伝子変異<br>5. KRAS 遺伝子変異	<b>正答：3</b><br>BRCA1/2遺伝子変異<br><br>テーマ：医薬品情報・EBM（10年11問・7/10回）	薬剤師国家試験 必須問題 科目::病態_薬物治療 テーマ::医薬品情報_EBM 第109回
【第109回 問71】法規・制度・倫理・コミュニケーション・患者中心の医療<br><br>次のうち、医療における患者の QOL を考えるときに最も重要視すべきなのはどれか。1つ選べ。<br><br>1. 患者の人間としての尊厳<br>2. 家族の意思<br>3. 費用対効果<br>4. 医療者の経済的利益<br>5. 医学の進歩	<b>正答：1</b><br>患者の人間としての尊厳<br><br>テーマ：コミュニケーション・患者中心の医療（10年7問・6/10回）	薬剤師国家試験 必須問題 科目::法規_制度_倫理 テーマ::コミュニケーション_患者中心の医療 第109回
【第109回 問72】法規・制度・倫理・倫理・臨床研究<br><br>要配慮個人情報とは、特定の記述等を含む個人情報である。その特定の記述等に該当するのはどれか。1つ選べ。<br><br>1. 生年月日<br>2. 病歴<br>3. 住所<br>4. 学歴<br>5. 電話番号	<b>正答：2</b><br>病歴<br><br>テーマ：倫理・臨床研究（10年9問・8/10回）	薬剤師国家試験 必須問題 科目::法規_制度_倫理 テーマ::倫理_臨床研究 第109回
【第109回 問73】法規・制度・倫理・薬剤師法<br><br>薬剤師法において規定されている事項はどれか。1つ選べ。<br><br>1. 薬局の開設の許可<br>2. 管理薬剤師の責務<br>3. 一般用医薬品の取扱い<br>4. 処方箋中の疑義の照会<br>5. 守秘義務	<b>正答：4</b><br>処方箋中の疑義の照会<br><br>テーマ：薬剤師法（10年13問・8/10回）	薬剤師国家試験 必須問題 科目::法規_制度_倫理 テーマ::薬剤師法 第109回
【第109回 問74】法規・制度・倫理・薬機法・医薬品の分類<br><br>新有効成分含有医薬品等の市販直後調査の実施は、どの時点から6ケ月と規定されているか。1つ選べ。<br><br>1. 承認申請した時<br>2. 承認を受けた時<br>3. 販売を開始した時<br>4. 薬価収載された時<br>5. 医薬品リスク管理計画を策定した時	<b>正答：3</b><br>販売を開始した時<br><br>テーマ：薬機法・医薬品の分類（10年18問・9/10回）	薬剤師国家試験 必須問題 科目::法規_制度_倫理 テーマ::薬機法_医薬品の分類 第109回
【第109回 問75】法規・制度・倫理・薬機法・医薬品の分類<br><br>医薬品医療機器等法第41条第1項において、日本薬局方を定め公示する目的を規定している条文のに当てはまるのはどれか。1つ選べ。「厚生労働大臣は、を図るため、薬事・食品衛生審議会の意見を聴いて、日本薬局方を定め、これを公示する。」<br><br>1. 医薬品の性状及び品質の適正<br>2. 医薬品の安定供給の確保<br>3. 医薬品の有効性及び安全性の確保<br>4. 医療の安全確保<br>5. 良質かつ適切な医療の確保	<b>正答：1</b><br>医薬品の性状及び品質の適正<br><br>テーマ：薬機法・医薬品の分類（10年18問・9/10回）	薬剤師国家試験 必須問題 科目::法規_制度_倫理 テーマ::薬機法_医薬品の分類 第109回
【第109回 問76】法規・制度・倫理・販売制度・リスク区分<br><br>次の文章のに当てはまるのはどれか。1つ選べ。他の医療提供施設と連携し、地域における医薬品の適正使用の推進、情報提供や指導を行うなどの機能を有する薬局として、都道府県知事の認定を受けて称することができる名称は、「連携薬局」である。<br><br>1. 医療<br>2. 地域<br>3. 多職種<br>4. 医療機関<br>5. 医療介護	<b>正答：2</b><br>地域<br><br>テーマ：販売制度・リスク区分（10年4問・3/10回）	薬剤師国家試験 必須問題 科目::法規_制度_倫理 テーマ::販売制度_リスク区分 第109回
【第109回 問77】法規・制度・倫理・麻薬・向精神薬・覚醒剤　⚠️否定形<br><br>大麻取締法で規定される「大麻」に該当しない大麻草（カンナビス・サティバ・エル）の部位はどれか。1つ選べ。<br><br>1. 花穂<br>2. 未熟な茎<br>3. 葉<br>4. 種子<br>5. 根	<b>正答：4</b><br>種子<br><br>テーマ：麻薬・向精神薬・覚醒剤（10年9問・6/10回）	薬剤師国家試験 必須問題 科目::法規_制度_倫理 テーマ::麻薬_向精神薬_覚醒剤 第109回 flag::否定形
【第109回 問78】法規・制度・倫理・販売制度・リスク区分<br><br>医療法において、医療提供施設として明記されているのはどれか。1つ選べ。<br><br>1. 調剤を実施する薬局<br>2. 医薬品店舗販売業の許可を有する店舗<br>3. 医療を受ける者の居宅<br>4. 医療安全支援センター<br>5. 医療事故調査・支援センター	<b>正答：1</b><br>調剤を実施する薬局<br><br>テーマ：販売制度・リスク区分（10年4問・3/10回）	薬剤師国家試験 必須問題 科目::法規_制度_倫理 テーマ::販売制度_リスク区分 第109回
【第109回 問79】法規・制度・倫理・医療保険・介護保険<br><br>介護保険の保険者に該当するのはどれか。1つ選べ。<br><br>1. 国民健康保険組合<br>2. 健康保険組合<br>3. 地方厚生局<br>4. 都道府県<br>5. 市町村及び特別区	<b>正答：5</b><br>市町村及び特別区<br><br>テーマ：医療保険・介護保険（10年14問・8/10回）	薬剤師国家試験 必須問題 科目::法規_制度_倫理 テーマ::医療保険_介護保険 第109回
【第109回 問80】法規・制度・倫理・コミュニケーション・患者中心の医療<br><br>エリザベス・キューブラー = ロスによって提唱された死にゆく人の心理過程で第2段階はどれか。1つ選べ。<br><br>1. 受容<br>2. 取り引き<br>3. 怒り<br>4. 否認と孤立<br>5. 抑うつ	<b>正答：3</b><br>怒り<br><br>テーマ：コミュニケーション・患者中心の医療（10年7問・6/10回）	薬剤師国家試験 必須問題 科目::法規_制度_倫理 テーマ::コミュニケーション_患者中心の医療 第109回
【第109回 問81】実務・服薬指導・製剤の取扱い<br><br>一般用医薬品の薬効分類と成分の組合せで正しいのはどれか。1つ選べ。成分薬効分類<br><br>1. クロタミトン鎮痒薬<br>2. クロルフェニラミンマレイン酸塩催眠鎮静薬<br>3. ペミロラストカリウム鼻炎用点鼻薬<br>4. テルビナフィン塩酸塩アレルギー用点眼薬<br>5. ビサコジル含嗽薬	<b>正答：1</b><br>クロタミトン鎮痒薬<br><br>テーマ：服薬指導・製剤の取扱い（10年12問・9/10回）	薬剤師国家試験 必須問題 科目::実務 テーマ::服薬指導_製剤の取扱い 第109回
【第109回 問82】実務・注射・無菌調製・配合変化<br><br>入院患者のバンコマイシンによる MRSA 感染症治療プロセスのうち、薬剤師が主に担当する役割はどれか。1つ選べ。<br><br>1. バンコマイシンを用いた治療の決定 ↓<br>2. バンコマイシン注射液静脈内投与後の経時的採血 ↓<br>3. 皮膚症状発現時の処置 ↓<br>4. 血中 CRP 及び血中バンコマイシン濃度の測定 ↓<br>5. 測定結果に基づくバンコマイシン投与設計の提案	<b>正答：5</b><br>測定結果に基づくバンコマイシン投与設計の提案<br><br>テーマ：注射・無菌調製・配合変化（10年11問・6/10回）	薬剤師国家試験 必須問題 科目::実務 テーマ::注射_無菌調製_配合変化 第109回
【第109回 問83】実務・在宅・地域・セルフメディケーション<br><br>アフタ性口内炎に用いられる一般用医薬品に含まれる有効成分はどれか。1つ選べ。<br><br>1. フルオシノロンアセトニド<br>2. トリアムシノロンアセトニド<br>3. ベタメタゾン吉草酸エステル<br>4. デキサメタゾン酢酸エステル<br>5. ヒドロコルチゾン	<b>正答：2</b><br>トリアムシノロンアセトニド<br><br>テーマ：在宅・地域・セルフメディケーション（10年10問・7/10回）	薬剤師国家試験 必須問題 科目::実務 テーマ::在宅_地域_セルフメディケーション 第109回
【第109回 問84】実務・調剤・処方箋<br><br>健康サポート薬局の届出要件の一つとして、適切なのはどれか。1つ選べ。<br><br>1. 個人情報に配慮した相談窓口の設置<br>2. 休日を除く24時間の開局<br>3. 薬局内での無菌調剤<br>4. 予防接種のためのワクチン調製<br>5. 専門薬剤師による抗がん剤の選択支援	<b>正答：1</b><br>個人情報に配慮した相談窓口の設置<br><br>テーマ：調剤・処方箋（10年9問・7/10回）	薬剤師国家試験 必須問題 科目::実務 テーマ::調剤_処方箋 第109回
【第109回 問85】実務・服薬指導・製剤の取扱い<br><br>生後3ケ月の乳児に対する薬の使い方として適切なのはどれか。1つ選べ。<br><br>1. 散剤を熱湯で溶かしてから飲ませる。<br>2. 散剤をハチミツに混ぜて飲ませる。<br>3. 散剤に数滴の水を加えてペースト状にし、頬の内側か上あごに塗りつけ、すぐに水を飲ませる。<br>4. 散剤とシロップ剤が一緒に出ている時は、翌日分をあらかじめ混ぜて作り置きしておく。<br>5. 坐剤は冷凍庫に保管し、冷えた状態で使用する。	<b>正答：3</b><br>散剤に数滴の水を加えてペースト状にし、頬の内側か上あごに塗りつけ、すぐに水を飲ませる。<br><br>テーマ：服薬指導・製剤の取扱い（10年12問・9/10回）	薬剤師国家試験 必須問題 科目::実務 テーマ::服薬指導_製剤の取扱い 第109回
【第109回 問86】実務・在宅・地域・セルフメディケーション<br><br>漢方薬と代表的な副作用の組合せとして正しいのはどれか。1つ選べ。漢方薬代表的な副作用半夏瀉心湯口内炎芍薬甘草湯高カリウム血症半夏厚朴湯下痢小柴胡湯間質性肺炎黄連解毒湯腎機能障害<br><br>※図・構造式が必要な問題です	<b>正答：4</b><br><br>テーマ：在宅・地域・セルフメディケーション（10年10問・7/10回）	薬剤師国家試験 必須問題 科目::実務 テーマ::在宅_地域_セルフメディケーション 第109回
【第109回 問87】実務・医薬品管理・保管<br><br>ペニシラミンを解毒薬として使う中毒の原因物質はどれか。1つ選べ。<br><br>1. アセトアミノフェン<br>2. 鉛<br>3. テトロドトキシン<br>4. サリン<br>5. メタノール	<b>正答：2</b><br>鉛<br><br>テーマ：医薬品管理・保管（10年9問・5/10回）	薬剤師国家試験 必須問題 科目::実務 テーマ::医薬品管理_保管 第109回
【第109回 問88】実務・消毒・感染対策<br><br>ノロウイルスで汚染された病室の床を消毒するのに最も適するのはどれか。1つ選べ。<br><br>1. クロルヘキシジングルコン酸塩<br>2. グルタラール<br>3. 次亜塩素酸ナトリウム<br>4. ポビドンヨード<br>5. ベンザルコニウム塩化物	<b>正答：3</b><br>次亜塩素酸ナトリウム<br><br>テーマ：消毒・感染対策（10年9問・8/10回）	薬剤師国家試験 必須問題 科目::実務 テーマ::消毒_感染対策 第109回
【第109回 問89】実務・チーム医療・病棟業務<br><br>チーム医療を実践する上で、最も必要なのはどれか。1つ選べ。<br><br>1. 国家資格を有する職種のみで構成する。<br>2. 医師の意見を最優先する。<br>3. 各職種の専門用語を使用する。<br>4. 職種ごとにクリニカルパスを作成する。<br>5. 職種間で医療情報を共有して意思決定する。	<b>正答：5</b><br>職種間で医療情報を共有して意思決定する。<br><br>テーマ：チーム医療・病棟業務（10年5問・5/10回）	薬剤師国家試験 必須問題 科目::実務 テーマ::チーム医療_病棟業務 第109回
【第109回 問90】実務・調剤・処方箋<br><br>麻薬及び向精神薬取締法に基づき、入院患者の麻薬処方箋に記載しなければならない必須事項はどれか。1つ選べ。<br><br>1. 患者の住所<br>2. 処方箋の使用期間<br>3. 麻薬施用者の免許証の番号<br>4. 麻薬業務所の名称<br>5. 麻薬業務所の所在地	<b>正答：3</b><br>麻薬施用者の免許証の番号<br><br>テーマ：調剤・処方箋（10年9問・7/10回）	薬剤師国家試験 必須問題 科目::実務 テーマ::調剤_処方箋 第109回
【第110回 問1】物理・電気化学・分子間相互作用　📐図・構造式<br><br>図はダニエル電池（Zn;ZnSO4（aq）CuSO4（aq）;Cu）の模式図である。この電池の標準起電力として正しいのはどれか。1つ選べ。ただし、Zn と Cu の半電池の標準電極電位はそれぞれ -0 . 763 V と +0 . 337 V とする。導線 Zn 板多孔質壁 Cu 板 ZnSO4溶液 CuSO4溶液<br><br>1. +0 . 213 V<br>2. +0 . 426 V<br>3. +1 . 100 V<br>4. -0 . 426 V<br>5. -1 . 100 V	<b>正答：3</b><br>+1 . 100 V<br><br>テーマ：電気化学・分子間相互作用（10年7問・5/10回）	薬剤師国家試験 必須問題 科目::物理 テーマ::電気化学_分子間相互作用 第110回 flag::図
【第110回 問2】物理・熱力学　選択肢6<br><br>熱力学における「閉じた系」において、熱、物質及び仕事のうち、外界とやりとりができるものだけをすべて挙げたのはどれか。1つ選べ。<br><br>1. 熱<br>2. 物質<br>3. 仕事<br>4. 熱、仕事<br>5. 物質、仕事6熱、物質	<b>正答：4</b><br>熱、仕事<br><br>テーマ：熱力学（10年6問・5/10回）	薬剤師国家試験 必須問題 科目::物理 テーマ::熱力学 第110回
【第110回 問3】物理・溶液・束一的性質<br><br>難溶性塩である水酸化鉄（Ⅲ）（Fe（OH）3）の純水中での溶解度を S mol/L とすると、その溶解度積（Ksp）を正しく表しているのはどれか。1つ選べ。<br><br>1. 3S 3（mol/L）3<br>2. 4S 3（mol/L）3<br>3. 9S 3（mol/L）3<br>4. 9S 4（mol/L）4<br>5. 27S 4（mol/L）4	<b>正答：5</b><br>27S 4（mol/L）4<br><br>テーマ：溶液・束一的性質（10年6問・4/10回）	薬剤師国家試験 必須問題 科目::物理 テーマ::溶液_束一的性質 第110回
【第110回 問4】物理・未分類<br><br>スピン量子数が1/2である原子核が外部磁場の中に置かれると、そのエネルギーが2つのエネルギー準位に分かれることを表しているのはどれか。1つ選べ。<br><br>1. 化学シフト<br>2. McLafferty（マクラファティー）転位<br>3. ラジカル開裂<br>4. 超微細分裂<br>5. ゼーマン分裂	<b>正答：5</b><br>ゼーマン分裂<br><br>テーマ：未分類（10年2問・2/10回）	薬剤師国家試験 必須問題 科目::物理 テーマ::未分類 第110回
【第110回 問5】物理・溶液・束一的性質　🔢計算 📐図・構造式<br><br>溶媒中で解離しない薬物Ｘを50 mmol 含む水溶液100 mL に酢酸エチルを加えて振とう、静置したところ、二液相に分相し、酢酸エチル相中のＸ は45 mmol であった。Ｘの分配係数（酢酸エチル相中の濃度/水相中の濃度）を18とすると、酢酸エチル相の体積はどれか。1つ選べ。ただし、分配に用いる溶媒は互いの溶媒で飽和されており、水相の体積は100 mL とする。<br><br>1. 50 mL<br>2. 100 mL<br>3. 150 mL<br>4. 200 mL<br>5. 250 mL	<b>正答：1</b><br>50 mL<br><br>テーマ：溶液・束一的性質（10年6問・4/10回）	薬剤師国家試験 必須問題 科目::物理 テーマ::溶液_束一的性質 第110回 flag::計算 flag::図
【第110回 問6】化学・生体分子の化学　📐図・構造式<br><br>以下のアルドヘキソースＡのアノマーはどれか。1つ選べ。 CH2OH O OH OH HO OH A CH2OH CH2OH CH2OH CH2OH CH2OH HO O OH O OH O OH O OHO OH HO HO OH OH OH OH HO OH HO OH OH HO OH OH<br><br>※図・構造式が必要な問題です	<b>正答：4</b><br><br>テーマ：生体分子の化学（10年2問・1/10回）	薬剤師国家試験 必須問題 科目::化学 テーマ::生体分子の化学 第110回 flag::図
【第110回 問7】化学・無機・電子論　📐図・構造式<br><br>以下の薬物に含まれる金属元素Ｍとして適切なのはどれか。1つ選べ。<br><br>1. Li<br>2. Mg<br>3. Al<br>4. Ca<br>5. Zn O M OH OH H N O N H O NH H2N	<b>正答：3</b><br>Al<br><br>テーマ：無機・電子論（10年6問・6/10回）	薬剤師国家試験 必須問題 科目::化学 テーマ::無機_電子論 第110回 flag::図
【第110回 問8】化学・酸塩基性・官能基<br><br>以下の化合物のうち、最も酸性度が高いのはどれか。1つ選べ。 OH OH OH OH OH NH2 Cl NO2<br><br>※図・構造式が必要な問題です	<b>正答：5</b><br><br>テーマ：酸塩基性・官能基（10年5問・5/10回）	薬剤師国家試験 必須問題 科目::化学 テーマ::酸塩基性_官能基 第110回
【第110回 問9】化学・未分類　📐図・構造式<br><br>以下の化学種のうち、ベンジルカチオンが最も安定化されているのはどれか。1つ選べ。＋H H ＋H H ＋H H ＋H H ＋H H OCH3 OCH3 OCH3 OCH3 OCH3 OCH3 OCH3 H3CO<br><br>※図・構造式が必要な問題です	<b>正答：4</b><br><br>テーマ：未分類（10年6問・6/10回）	薬剤師国家試験 必須問題 科目::化学 テーマ::未分類 第110回 flag::図
【第110回 問10】化学・生体分子の化学　📐図・構造式<br><br>ビンクリスチンの生合成前駆体となるアミノ酸はどれか。1つ選べ。 N N H HO CH3 H O CH3 O O CH3 N CH3 O H H O N H OH O CHO CH3 O CH3ビンクリスチン<br><br>1. オルニチン<br>2. チロシン<br>3. トリプトファン<br>4. フェニルアラニン<br>5. リシン	<b>正答：3</b><br>トリプトファン<br><br>テーマ：生体分子の化学（10年2問・1/10回）	薬剤師国家試験 必須問題 科目::化学 テーマ::生体分子の化学 第110回 flag::図
【第110回 問11】生物・人体の構造と機能<br><br>血管平滑筋細胞を持たず血管内皮細胞と基底膜から構成され、栄養成分や老廃物の物質交換が行われるのはどれか。1つ選べ。<br><br>1. 大動脈<br>2. 細動脈<br>3. 毛細血管<br>4. 大静脈<br>5. 胸管	<b>正答：3</b><br>毛細血管<br><br>テーマ：人体の構造と機能（10年13問・8/10回）	薬剤師国家試験 必須問題 科目::生物 テーマ::人体の構造と機能 第110回
【第110回 問12】生物・未分類　📐図・構造式<br><br>核酸に含まれるプリン塩基のヒトにおける最終代謝産物はどれか。1つ選べ。 HN O N O N H HN O N N H N N H O HN H2N N N N H NH2 N N N N H O N H HN O H N N H O<br><br>※図・構造式が必要な問題です	<b>正答：5</b><br><br>テーマ：未分類（10年6問・5/10回）	薬剤師国家試験 必須問題 科目::生物 テーマ::未分類 第110回 flag::図
【第110回 問13】生物・遺伝子・分子生物学<br><br>真核生物において、転写開始の際に RNA ポリメラーゼⅡの結合に必要な DNA 上の領域はどれか。1つ選べ。<br><br>1. イントロン<br>2. エクソン<br>3. プロモーター<br>4. テロメア<br>5. ターミネーター	<b>正答：3</b><br>プロモーター<br><br>テーマ：遺伝子・分子生物学（10年10問・6/10回）	薬剤師国家試験 必須問題 科目::生物 テーマ::遺伝子_分子生物学 第110回
【第110回 問14】生物・遺伝子・分子生物学<br><br>オステオカルシンとカルシウムイオンが結合できるようにする、グルタミン酸残基に対する翻訳後修飾はどれか。1つ選べ。<br><br>1. アセチル化<br>2. メチル化<br>3. ミリストイル化<br>4. リン酸化<br>5. カルボキシ化	<b>正答：5</b><br>カルボキシ化<br><br>テーマ：遺伝子・分子生物学（10年10問・6/10回）	薬剤師国家試験 必須問題 科目::生物 テーマ::遺伝子_分子生物学 第110回
【第110回 問15】生物・遺伝子・分子生物学<br><br>ウイルスゲノムを中心としてその周囲を取り囲むタンパク質の壳はどれか。1つ選べ。<br><br>1. エンベロープ<br>2. カプシド<br>3. コア<br>4. スパイク<br>5. ビリオン	<b>正答：2</b><br>カプシド<br><br>テーマ：遺伝子・分子生物学（10年10問・6/10回）	薬剤師国家試験 必須問題 科目::生物 テーマ::遺伝子_分子生物学 第110回
【第110回 問16】衛生・保健統計・人口　📐図・構造式<br><br>下図の年次推移を示す我が国の人口統計指標はどれか。1つ選べ。）15対千口人（10 5 0 1950 1955 1960 1965 1970 1975 1980 1985 1990 1995 2000 2005 2010 2015 2020（年）（厚生労働省「人口動態統計」を基に作成）<br><br>1. 出生率<br>2. 合計特殊出生率<br>3. 総再生産率<br>4. 粗死亡率<br>5. 年齢調整死亡率	<b>正答：4</b><br>粗死亡率<br><br>テーマ：保健統計・人口（10年4問・4/10回）	薬剤師国家試験 必須問題 科目::衛生 テーマ::保健統計_人口 第110回 flag::図
